Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,180.213,-133.477,270,bottom
C2,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,190.246,-126.238,90,bottom
C3,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,169.164,-136.906,270,bottom
C4,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,194.183,-123.063,0,bottom
C5,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,187.706,-126.238,90,bottom
C6,56pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,185.42,-123.19,90,bottom
C7,2.2uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,163.576,-91.7575,225,bottom
C8,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,190.246,-119.888,270,bottom
C9,2.2uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,164.592,-119.126,135,bottom
C10,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,187.706,-119.888,270,bottom
C11,6.8pF NP0,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,144.399,-102.235,90,bottom
C12,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,155.5242,-106.299,90,bottom
C13,10nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,184.15,-78.8035,90,bottom
C14,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,151.0792,-104.267,0,bottom
C15,10nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,152.654,-100.6475,180,bottom
C16,6.8pF NP0,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,144.399,-104.521,270,bottom
C17,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,167.64,-116.205,270,bottom
C18,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,152.908,-98.044,90,bottom
C19,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,160.7312,-107.2134,180,bottom
C20,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,159.5374,-101.6508,180,bottom
C21,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,154.6098,-98.5012,90,bottom
C22,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,159.7406,-98.4504,180,bottom
C23,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,164.338,-106.4006,270,bottom
C24,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,158.0388,-106.2736,270,bottom
C25,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,161.925,-102.4636,270,bottom
C26,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,157.4546,-98.4504,0,bottom
C27,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,157.0228,-106.2736,270,bottom
C28,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,154.7876,-103.9114,90,bottom
C29,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,157.9372,-103.9622,270,bottom
C30,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,161.925,-105.4608,90,bottom
C31,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,151.0792,-105.2576,180,bottom
C32,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,159.5374,-105.5624,270,bottom
C33,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,156.337,-103.2764,90,bottom
C34,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,155.6004,-98.5012,90,bottom
C35,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,151.384,-98.044,90,bottom
C36,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,188.975766,-94.074123,45,bottom
C37,10nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,141.351,-110.236,270,bottom
C38,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,163.195,-78.105,180,bottom
C39,2.2uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,168.275,-133.477,180,bottom
C40,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,193.398255,-111.737009,315,bottom
C41,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,168.656,-123.698,180,bottom
C42,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,192.679835,-112.45543,315,bottom
