Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,136.144,-71.882,0,top
D2,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,173.99,-125.095,180,top
D3,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,173.99,-128.524,180,top
D4,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,173.99,-132.08,180,top
J6,Conn_02x05_Odd_Even,PinHeader_2x05_P1.27mm_Vertical_SMD,190.4365,-77.47,270,top
J8,USB_B_Micro,USB_Micro-B_Molex-105017-0001,145.5674,-146.1008,0,top
J10,Micro_SD_Card_Det,microSD_HC_Molex_104031-0811,175.1965,-76.835,180,top
J14,USB_B_Micro,USB_Micro-B_Molex-105017-0001,158.75,-146.05,0,top
SW2,SW_SPST,Panasonic_EVQPUK_EVQPUB,198.755,-77.47,270,top
U1,STM32MP157xAB,BGA-354_19x19_16.0x16.0mm,159.931,-102.857,0,top
U2,MT41K256M16TW-107,BGA-96_9.0x13.0mm_Layout2x3x16_P0.8mm,185.42,-102.87,270,top
U4,TPS54202DDC,SOT-23-6,194.31,-126.238,0,top
