Reference, Quantity, Value, Footprint, Datasheet, Mfr, PartNo
C13 C15 ,2,"10nF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","~","~"
C1 C12 C14 C17 C18 C19 C20 C21 C22 C23 C24 C25 C26 C27 C28 C29 C30 C31 C32 C33 C34 C35 C68 C70 ,24,"1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
C2 C5 C8 C10 ,4,"22uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.co.uk/datasheet/2/212/KEM_C1006_X5R_SMD-1103249.pdf","Kemet","C1206C226M8PACTU"
C3 ,1,"10uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","~","~"
C36 C40 C41 C42 C43 C52 C57 C62 C65 ,9,"100nF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","~","~"
C4 ,1,"100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","~","~"
C6 ,1,"56pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","~","~"
C7 C9 C69 ,3,"2.2uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
D2 ,1,"D_Schottky","Diode_SMD:D_SOD-123F","~","~","~"
D1 D3 D4 D5 ,4,"LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","~","~"
J1 J2 J3 J4 ,4,"Conn_01x27","Connector_PinHeader_2.54mm:PinHeader_1x27_P2.54mm_Vertical","~","~","~"
J12 J13 ,2,"Micro_SD_Card","Molex_SDIO:Molex_SDIO_475710001","https://www.molex.com/molex/products/part-detail/memory_card_socket/0475710001","Molex","475710001"
J8 J14 ,2,"USB_B_Micro","Connector_USB:USB_Micro-B_Molex-105017-0001","~","~","~"
J5 ,1,"Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","~","~"
