Reference, Quantity, Value, Footprint, Datasheet, Comment, LCSC, Mfr, Mouser, PartNo
C1 ,1,"1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","~","C28323","~","~","~"
C11 C16 ,2,"6.8pF NP0","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","~","C1576","~","~","~"
C13 C15 C37 ,3,"10nF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","~","C15195","~","~","~"
C12 C14 C17 C18 C19 C20 C21 C22 C23 C24 C25 C26 C27 C28 C29 C30 C31 C32 C33 C34 C35 C68 C70 ,23,"1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","~","C52923","Taiyo Yuden","~","LMK105BJ105KV-F"
C2 C5 C8 C10 ,4,"22uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.co.uk/datasheet/2/212/KEM_C1006_X5R_SMD-1103249.pdf","~","~","Kemet","~","C1206C226M8PACTU"
C3 ,1,"10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","~","~","~","~","~"
C36 C38 C40 C41 C42 C44 C52 C57 C62 C65 ,10,"100nF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","~","C1525","~","~","~"
C39 C43 ,2,"2.2uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","C49217","~","~","~"
C4 ,1,"100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","~","C49678","~","~","~"
C6 ,1,"56pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","~","C1828","~","~","~"
C7 C9 C69 ,3,"2.2uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","~","~","Taiyo Yuden","~","LMK105BJ105KV-F"
D1 D2 D3 D4 ,4,"LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","~","C84256","~","~","~"
J1 J2 J3 J4 ,4,"Conn_01x27","Connector_PinHeader_2.54mm:PinHeader_1x27_P2.54mm_Vertical","~","~","~","~","~","~"
