Comment,Designator,Footprint,LCSC
"6.8pF NP0","C11,C16","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C1576"
"10nF","C13,C15,C37","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C15195"
"1uF","C1,C12,C14,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C68,C70","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C52923"
"22uF","C2,C5,C8,C10","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"10uF","C3","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C15525"
"100nF","C4,C36,C38,C40,C41,C42,C44,C52,C57,C62,C65","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C1525"
"2.2uF","C39,C43","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","C23630"
"56pF","C6","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C1572"
"2.2uF","C7,C9,C69","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"LED","D1,D2,D3,D4","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C84256"
"Conn_01x27","J1,J2,J3,J4","Connector_PinHeader_2.54mm:PinHeader_1x27_P2.54mm_Vertical","~"
"Micro_SD_Card_Det","J10","Connector_Card:microSD_HC_Molex_104031-0811","~"
"USB_C_Receptacle_USB2.0","J11","MolexUSB_TypeC:213716-0001_THT_Socket_RightAngle","~"
"Conn_01x02","J12","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~"
"USB_B_Micro","J8,J14","Connector_USB:USB_Micro-B_Molex-105017-0001","~"
"Conn_02x03_Odd_Even","J5","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~"
"Conn_02x05_Odd_Even","J6","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical_SMD","~"
"Conn_01x08","J7","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"Barrel_Jack","J9","Connector_BarrelJack:BarrelJack_Horizontal","~"
"4.7uH","L2","Inductor_SMD:L_Bourns-SRN6028","~"
"LQM18FN4R7M00D ","L3","Inductor_SMD:L_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~"
"Net-Tie_3","NT1","NetTie:NetTie-3_SMD_Pad0.5mm","~"
"Net-Tie_2","NT2,NT3","TinyNetTies:NetTie-2_SMD_Pad0.127mm","~"
"240R","R10,R11","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"47K","R12,R13,R40,R41,R42","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C25792"
"100R","R14","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C25076"
"2K2","R18,R19,R26","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C25879"
"1K","R1,R2,R5,R7,R9,R22,R52","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C11702"
"10R","R20","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C25077"
"0R","R16,R17,R23,R24","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C25087"
"0R","R25","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C25087"
"100K","R3","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C25741"
"82K","R4","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C25571"
"10K","R6,R15,R21","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C25744"
"3K","R8","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"SW_SPST","SW2","Button_Switch_SMD:Panasonic_EVQPUK_EVQPUB","~"
"TestPoint","TP1,TP2,TP3,TP4","TestPoint:TestPoint_Pad_D1.0mm","~"
"STM32MP157xAB","U1","STM32MP151_LFBGA:BGA-354_19x19_16.0x16.0mm","~"
"MT41K256M16TW-107","U2","Package_BGA:BGA-96_9.0x13.0mm_Layout2x3x16_P0.8mm","~"
"SE8233X2","U3","Package_TO_SOT_SMD:SOT-23","~"
"TPS54202DDC","U4","Package_TO_SOT_SMD:SOT-23-6","~"
"SiP3250x","U5,U6","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","~"
"NX2016SA-24M","X1","Oscillator:Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm","~"
"NX2012SA32768K1","Y1","Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering","~"
